"diff","lwr","upr","p adj","comparison","feature_id"
1.35654407998304,0.40783864525772,2.30524951470836,0.010985248117708,"WRN-WT","Acetyl-D-alanine"
1.61763298476621,0.668927550040887,2.56633841949153,0.00469702539436101,"shPGC-WT","Acetyl-D-alanine"
1.51243460782949,1.12035317603712,1.90451603962187,5.42752741030661e-05,"WRN-WT","Adenosine 5'-monophosphate"
1.72549283924389,1.33341140745152,2.11757427103627,2.5075447992684e-05,"shPGC-WT","Adenosine 5'-monophosphate"
3.51219047080663,1.86250085209854,5.16188008951472,0.00149532768669125,"WRN-WT","Taurine"
3.72301086026541,2.07332124155731,5.3727004789735,0.00109523404401024,"shPGC-WT","Taurine"
4.08040040103533,2.636526644712,5.52427415735865,0.000318814914150534,"WRN-WT","Creatine"
3.68170875984075,2.23783500351743,5.12558251616408,0.00056373963393308,"shPGC-WT","Creatine"
1.6137877387615,0.220782054323461,3.00679342319954,0.0278539731193314,"WRN-WT","Myoinositol"
2.07867351709571,0.685667832657669,3.47167920153375,0.0089893422125249,"shPGC-WT","Myoinositol"
3.58424484294321,1.54173749192962,5.62675219395679,0.00406696859397127,"shPGC-WT","Xanthosine"
2.04610182106076,0.00359447004717151,4.08860917207434,0.0496687816677164,"shPGC-WRN","Xanthosine"
2.56293638479627,1.02685592769288,4.09901684189966,0.00523170003809925,"WRN-WT","Phenylac-Gly-OH"
2.37661117273595,0.840530715632558,3.91269162983934,0.00756255868060995,"shPGC-WT","Phenylac-Gly-OH"
1.14455293191192,0.909786200033044,1.3793196637908,1.35163353800483e-05,"WRN-WT","Uridine-5'-phosphoric acid"
1.6993529265475,1.46458619466863,1.93411965842638,1.39768831020071e-06,"shPGC-WT","Uridine-5'-phosphoric acid"
0.554799994635581,0.320033262756702,0.789566726514461,0.000854001513915015,"shPGC-WRN","Uridine-5'-phosphoric acid"
1.71779945604102,0.235290087584769,3.20030882449728,0.0278321884564966,"WRN-WT","Pantothenic acid"
1.86122821417208,0.378718845715821,3.34373758262833,0.019763373809417,"shPGC-WT","Pantothenic acid"
6.7549734264357,6.01307226446318,7.49687458840822,5.30845249757661e-07,"WRN-WT","Xanthine"
6.49247485175802,5.75057368978549,7.23437601373054,6.33337073230322e-07,"shPGC-WT","Xanthine"
2.18958487077808,1.60163202894867,2.77753771260748,6.65145210816398e-05,"WRN-WT","sn-glycero-3-Phosphocholine"
1.07740440460633,0.489451562776924,1.66535724643574,0.00326575707614551,"shPGC-WT","sn-glycero-3-Phosphocholine"
-1.11218046617175,-1.70013330800115,-0.52422762434234,0.00277505737476091,"shPGC-WRN","sn-glycero-3-Phosphocholine"
-1.98669476075975,-2.62005408773071,-1.35333543378879,0.000177315418122603,"WRN-WT","2-Methylsuccinic acid"
-2.23523947278202,-2.86859879975298,-1.60188014581106,9.06012193788719e-05,"shPGC-WT","2-Methylsuccinic acid"
1.41311024411976,0.618917817421669,2.20730267081786,0.00379245786903049,"shPGC-WT","Pseudouridine"
2.05726537149738,0.560952762777924,3.55357798021684,0.0131647559545599,"WRN-WT","6-Chloro-5-methyl-1H-1,2,3-benzotriazole"
3.176587074125,1.68027446540555,4.67289968284446,0.00151810234012983,"shPGC-WT","6-Chloro-5-methyl-1H-1,2,3-benzotriazole"
-1.52882239031112,-2.35181919028809,-0.705825590334148,0.00304584924950468,"shPGC-WRN","Phosphoric acid"
-1.52882239031112,-2.35181919028809,-0.705825590334148,0.00304584924950468,"shPGC-WRN","Phosphoric acid"
-1.77477913652522,-2.1420694222824,-1.40748885076804,1.42736518451425e-05,"shPGC-WT","D-ribose 5-phosphate"
-1.57914623300105,-1.94643651875823,-1.21185594724387,2.87900263589158e-05,"shPGC-WRN","D-ribose 5-phosphate"
-0.774440616680877,-1.15988088453472,-0.389000348827038,0.00202891047239984,"WRN-WT","2,4-Dinitrophenol"
0.456146923133145,0.0707066552793056,0.841587190986983,0.0254714786994426,"shPGC-WRN","2,4-Dinitrophenol"
4.01448556672775,2.6931758816705,5.33579525178499,0.000212332721977071,"WRN-WT","DL-Alanine"
3.65956644187675,2.33825675681951,4.980876126934,0.000356727073287155,"shPGC-WT","DL-Alanine"
1.61520939461964,0.357629517272475,2.87278927196681,0.0178816736765178,"WRN-WT","cis-Aconitic acid"
1.61517087303564,0.357590995688477,2.87275075038281,0.0178835586430965,"shPGC-WT","cis-Aconitic acid"
4.62535470042716,3.48018713281347,5.77052226804085,4.15433305858137e-05,"WRN-WT","Phenol sulphate"
2.56378989855039,1.41862233093671,3.70895746616408,0.00114337787908303,"shPGC-WT","Phenol sulphate"
-2.06156480187676,-3.20673236949045,-0.916397234263076,0.00357439648590407,"shPGC-WRN","Phenol sulphate"
-1.51079529416207,-2.3428803102576,-0.678710278066547,0.00342257688213654,"shPGC-WRN","Pyrophosphate"
1.53651874261409,0.733385044046325,2.33965244118186,0.00261766190438695,"WRN-WT","Meglumine"
1.69263865537314,0.889504956805377,2.49577235394091,0.00157781719208872,"shPGC-WT","Meglumine"
1.97603728676203,0.745173436605797,3.20690113691825,0.00632294712392278,"WRN-WT","Glycerylphosphorylethanolamine"
1.91895609583191,0.688092245675679,3.14981994598814,0.00728973573588498,"shPGC-WT","Glycerylphosphorylethanolamine"
-1.45371016591012,-2.27929907517628,-0.628121256643957,0.00399776651465789,"shPGC-WT","Phosphorus(V) sulfide"
-1.28059480433898,-2.10618371360514,-0.455005895072823,0.00747058475492879,"shPGC-WRN","Phosphorus(V) sulfide"
3.21804597116467,2.36865582932758,4.06743611300177,6.02307761610188e-05,"WRN-WT","3,5-Dichloro-2-methylmuconate"
3.3546522770795,2.50526213524241,4.20404241891659,4.73356090398003e-05,"shPGC-WT","3,5-Dichloro-2-methylmuconate"
3.63242509128986,2.72224677681552,4.5426034057642,4.45490034362006e-05,"WRN-WT","MQD"
3.13279581066647,2.22261749619213,4.04297412514081,0.000104556619826335,"shPGC-WT","MQD"
5.30316154542915,4.7361668054582,5.87015628540011,4.6796266017779e-07,"WRN-WT","3,5-Dichloro-2-hydroxybenzenesulfonic acid"
2.59644374392661,2.02944900395565,3.16343848389756,1.97723764272517e-05,"shPGC-WT","3,5-Dichloro-2-hydroxybenzenesulfonic acid"
-2.70671780150254,-3.2737125414735,-2.13972306153159,1.53715828592471e-05,"shPGC-WRN","3,5-Dichloro-2-hydroxybenzenesulfonic acid"
1.09987840790864,0.124003288169027,2.07575352764825,0.031207927756327,"WRN-WT","Glycerophosphoglycerol"
1.67590337814566,0.70002825840605,2.65177849788527,0.0045322792113861,"shPGC-WT","Glycerophosphoglycerol"
-0.772877714949724,-0.9780021772847,-0.567753252614748,6.21777622460407e-05,"WRN-WT","PL1B"
0.407958692550558,0.202834230215582,0.613083154885534,0.00214006400108113,"shPGC-WT","PL1B"
1.18083640750028,0.975711945165306,1.38596086983526,4.80559952920068e-06,"shPGC-WRN","PL1B"
-0.761528932223593,-1.34501980953556,-0.178038054911631,0.0166541472204923,"WRN-WT","16-Hydroxyhexadecanoic acid"
-0.744209459794743,-1.3277003371067,-0.160718582482781,0.0184410133023427,"shPGC-WT","16-Hydroxyhexadecanoic acid"
1.97420631218401,0.423031635958294,3.52538098840972,0.0186154937579882,"WRN-WT","2'-amino-2'-deoxyguanosine"
2.13350245384598,0.582327777620264,3.68467713007169,0.0131419788604153,"shPGC-WT","2'-amino-2'-deoxyguanosine"
1.9373755759959,1.67511505323346,2.19963609875834,1.2791878261087e-06,"WRN-WT","D-Sedoheptulose 7-phosphate"
1.4419115647983,1.17965104203586,1.70417208756074,6.39735461227531e-06,"shPGC-WT","D-Sedoheptulose 7-phosphate"
-0.495464011197605,-0.757724533960046,-0.233203488435165,0.00279332669252885,"shPGC-WRN","D-Sedoheptulose 7-phosphate"
-0.575230909763639,-1.11892354424299,-0.0315382752842853,0.04023070481631,"shPGC-WT","(E)-4,4',alpha,beta-Tetrachlorostilbene"
-0.908645286038059,-1.45233792051741,-0.364952651558706,0.00518911047027781,"shPGC-WRN","(E)-4,4',alpha,beta-Tetrachlorostilbene"
-0.533585209662996,-1.03934093076501,-0.0278294885609801,0.0406792537458865,"WRN-WT","5,6-Epoxy-8,11,14-eicosatrienoic acid"
0.748690113633861,0.242934392531845,1.25444583473588,0.00933610775282934,"shPGC-WRN","5,6-Epoxy-8,11,14-eicosatrienoic acid"
1.34314313116809,0.534652235803627,2.15163402653256,0.00534470790179808,"WRN-WT","N-Heptafluorobutyrylproline"
1.43329271944213,0.624801824077667,2.2417836148066,0.00386329153928266,"shPGC-WT","N-Heptafluorobutyrylproline"
1.54354572440157,0.731444487532368,2.35564696127077,0.00270752762669313,"shPGC-WT","Inosinic acid"
2.45112792813671,2.13486187712224,2.76739397915119,1.04670837708376e-06,"WRN-WT","N-Palmitoyltaurine"
1.73817250624435,1.42190645522988,2.05443855725882,6.41261737466259e-06,"shPGC-WT","N-Palmitoyltaurine"
-0.712955421892361,-1.02922147290683,-0.396689370877888,0.00110179013218104,"shPGC-WRN","N-Palmitoyltaurine"
1.32390116543177,0.587879809421106,2.05992252144244,0.00358957797940318,"WRN-WT","Guanosine monophosphate"
1.80945347415588,1.07343211814522,2.54547483016655,0.000688715927764094,"shPGC-WT","Guanosine monophosphate"
1.35035958724074,0.52278245457152,2.17793671990996,0.00583952022588252,"WRN-WT","5-phospho-alpha-D-ribose 1-diphosphate"
1.592008074741,0.764430942071781,2.41958520741022,0.00254434521849678,"shPGC-WT","5-phospho-alpha-D-ribose 1-diphosphate"
3.19454699950987,2.18503176679732,4.20406223222242,0.000168710483018808,"WRN-WT","N-linoleoyl taurine"
2.82030476456618,1.81078953185363,3.82981999727873,0.000339931105183489,"shPGC-WT","N-linoleoyl taurine"
2.20264976354402,1.77477595104379,2.63052357604425,9.65412203690619e-06,"WRN-WT","Oleoyltaurine"
1.5681903205339,1.14031650803367,1.99606413303413,7.29253890479065e-05,"shPGC-WT","Oleoyltaurine"
-0.634459443010122,-1.06233325551035,-0.206585630509891,0.00926252172617703,"shPGC-WRN","Oleoyltaurine"
2.77270370489264,1.04535935109963,4.50004805868564,0.00632725345436325,"WRN-WT","Roflumilast N-oxide"
2.70018905681878,0.972844703025779,4.42753341061178,0.0071962908037364,"shPGC-WT","Roflumilast N-oxide"
2.84164462527104,2.45526123419151,3.22802801635057,1.30389267938291e-06,"WRN-WT","a-L-Fucopyranosyl-(1->2)-b-D-galactopyranosyl-(1->2)-D-xylose"
1.02158630179947,0.635202910719944,1.407969692879,0.000461622635021364,"shPGC-WT","a-L-Fucopyranosyl-(1->2)-b-D-galactopyranosyl-(1->2)-D-xylose"
-1.82005832347156,-2.20644171455109,-1.43367493239203,1.66712459823692e-05,"shPGC-WRN","a-L-Fucopyranosyl-(1->2)-b-D-galactopyranosyl-(1->2)-D-xylose"
4.08126320425347,1.8978453636061,6.26468104490085,0.002950340367875,"WRN-WT","Merochlorin D"
3.5978451112657,1.41442727061833,5.78126295191308,0.005564166584478,"shPGC-WT","Merochlorin D"
3.47238054334042,0.701021291034818,6.24373979564601,0.0199364449743078,"WRN-WT","7,8,4'-Trihydroxy-3',5'-dimethoxyflavanone 4'-O-glucoside"
3.28743560891647,0.516076356610871,6.05879486122207,0.0252207188561299,"shPGC-WT","7,8,4'-Trihydroxy-3',5'-dimethoxyflavanone 4'-O-glucoside"
-1.78143874366705,-2.25365113090357,-1.30922635643052,6.17327033545223e-05,"WRN-WT","N-[(4E,8E)-1,3-dihydroxyoctadeca-4,8-dien-2-yl]hexadecanamide"
-2.04528965907041,-2.51750204630693,-1.57307727183388,2.75607312776316e-05,"shPGC-WT","N-[(4E,8E)-1,3-dihydroxyoctadeca-4,8-dien-2-yl]hexadecanamide"
-0.966922946708192,-1.52130322276109,-0.412542670655298,0.00419368995994995,"WRN-WT","Cer(d18:1/16:0)"
-1.01097423333202,-1.56535450938492,-0.456593957279131,0.00334741325792454,"shPGC-WT","Cer(d18:1/16:0)"
-2.83237930769893,-3.56091769650804,-2.10384091888982,5.18686207682251e-05,"WRN-WT","{[2-Amino-4-oxo-6,7-di(sulfanyl-kappaS)-3,5,5a,8,9a,10-hexahydro-4H-pyrano[3,2-g]pteridin-8-yl]methyl dihydrogenato(2-) phosphate}(oxo)thioxomolybdenum"
-1.74774268629068,-2.47628107509979,-1.01920429748157,0.000787064660051739,"shPGC-WT","{[2-Amino-4-oxo-6,7-di(sulfanyl-kappaS)-3,5,5a,8,9a,10-hexahydro-4H-pyrano[3,2-g]pteridin-8-yl]methyl dihydrogenato(2-) phosphate}(oxo)thioxomolybdenum"
1.08463662140825,0.356098232599141,1.81317501021736,0.0090881463450142,"shPGC-WRN","{[2-Amino-4-oxo-6,7-di(sulfanyl-kappaS)-3,5,5a,8,9a,10-hexahydro-4H-pyrano[3,2-g]pteridin-8-yl]methyl dihydrogenato(2-) phosphate}(oxo)thioxomolybdenum"
-1.75241667666875,-2.75843544746972,-0.746397905867779,0.00422058672850101,"WRN-WT","1-(2-methoxy-octadecanyl)-sn-glycero-3-phosphoserine"
-1.2961107154334,-2.30212948623437,-0.290091944632428,0.0176387869580124,"shPGC-WT","1-(2-methoxy-octadecanyl)-sn-glycero-3-phosphoserine"
2.18251124391524,1.613250921397,2.75177156643347,5.62306935403267e-05,"WRN-WT","Mindapyrrole A"
1.26452531025557,0.695264987737336,1.83378563277381,0.00119234633177256,"shPGC-WT","Mindapyrrole A"
-0.917985933659663,-1.4872462561779,-0.348725611141425,0.0061864671277736,"shPGC-WRN","Mindapyrrole A"
-1.35258228233301,-1.93273903999942,-0.772425524666602,0.000919016522378246,"WRN-WT","Cer(t18:1(6OH)/15:0(2OH))"
-1.37120129527176,-1.95135805293816,-0.79104453760535,0.00085340470663231,"shPGC-WT","Cer(t18:1(6OH)/15:0(2OH))"
0.466979803656843,0.0737423128659236,0.860217294447763,0.0251033837109187,"shPGC-WT","Octacosanoylcarnitine"
0.519143133345544,0.125905642554625,0.912380624136464,0.0158221088570963,"shPGC-WRN","Octacosanoylcarnitine"
-2.66864695119066,-4.10928154438034,-1.22801235800098,0.00309003209691039,"WRN-WT","1-Heneicosanoyl-glycero-3-phosphoserine"
2.37573250427008,1.39119789326203,3.36026711527814,0.00076238894202918,"shPGC-WT","Cer(d18:0/h17:0)"
1.8373499576227,0.852815346614645,2.82188456863075,0.0029747267432807,"shPGC-WRN","Cer(d18:0/h17:0)"
1.52521888028476,0.358649894210058,2.69178786635946,0.0165231147111187,"shPGC-WT","Cer(t18:1(6OH)/19:0)"
1.69446221504094,0.527893228966244,2.86103120111564,0.0102082817003449,"shPGC-WRN","Cer(t18:1(6OH)/19:0)"
-0.54437963443174,-0.889085188309583,-0.199674080553897,0.00684890541486571,"WRN-WT","Lonchocarpin"
0.52451519211877,0.179809638240927,0.869220745996613,0.00819159100071309,"shPGC-WRN","Lonchocarpin"
0.421387703789549,0.0261759295047628,0.816599478074335,0.0390209508549805,"WRN-WT","Cer(d18:2/25:0(2OH))"
0.531549788972168,0.136338014687382,0.926761563256954,0.0145501632266978,"shPGC-WT","Cer(d18:2/25:0(2OH))"
0.725463332515685,0.34943737731147,1.1014892877199,0.00250640333171648,"WRN-WT","Cer(t18:1(6OH)/25:0)"
